STATE,NAME,2000 POVERTY,1990 POVERTY,1980 POVERTY,1970 POVERTY,1960 POVERTY
FL,MARTIN COUNTY,8.8,8.3,11.08,19.80,28.28
FL,MIAMI-DADE COUNTY,18.0,17.9,15.03,14.20,22.29
FL,MONROE COUNTY,10.2,10.8,13.36,16.50,24.96
FL,NASSAU COUNTY,9.1,11.7,12.35,18.90,37.42
FL,OKALOOSA COUNTY,8.8,10.3,10.95,13.70,22.29
FL,OKEECHOBEE COUNTY,16.0,20.8,17.54,23.20,31.40
FL,ORANGE COUNTY,12.1,11.2,13.24,14.40,23.03
FL,OSCEOLA COUNTY,11.5,9.4,11.82,21.00,39.61
FL,PALM BEACH COUNTY,9.9,9.3,10.08,14.30,27.67
FL,PASCO COUNTY,10.7,11.6,10.86,21.40,39.68
FL,PINELLAS COUNTY,10.0,9.5,9.77,13.00,24.54
FL,POLK COUNTY,12.9,12.9,14.58,19.70,31.19
FL,PUTNAM COUNTY,20.9,20.0,21.31,26.20,41.74
FL,SANTA ROSA COUNTY,9.8,14.2,16.23,18.40,30.52
FL,SARASOTA COUNTY,7.8,6.9,9.11,14.40,23.56
FL,SEMINOLE COUNTY,7.4,7.2,9.19,15.20,33.46
FL,ST. JOHNS COUNTY,8.0,10.3,15.59,27.30,37.14
FL,ST. LUCIE COUNTY,13.4,13.0,17.14,26.70,32.38
FL,SUMTER COUNTY,13.7,19.8,20.57,31.00,52.29
FL,SUWANNEE COUNTY,18.5,19.7,23.91,34.00,51.93
FL,TAYLOR COUNTY,18.0,20.8,22.24,27.80,43.61
FL,UNION COUNTY,14.0,15.8,17.18,23.00,43.04
FL,VOLUSIA COUNTY,11.6,12.1,14.06,18.20,29.93
FL,WAKULLA COUNTY,11.3,13.7,18.14,32.20,60.23
FL,WALTON COUNTY,14.4,18.8,22.97,29.60,51.26
FL,WASHINGTON COUNTY,19.2,21.9,24.97,41.70,58.23
GA,GEORGIA STATE,13.0,14.7,16.63,20.70,38.96
GA,APPLING COUNTY,18.6,19.9,29.04,37.10,61.67
GA,ATKINSON COUNTY,23.0,26.0,31.27,44.60,68.94
GA,BACON COUNTY,23.7,24.1,23.09,31.20,58.94
GA,BAKER COUNTY,23.4,24.8,27.37,45.90,74.06
GA,BALDWIN COUNTY,16.8,17.5,16.43,22.30,40.47
GA,BANKS COUNTY,12.5,15.1,11.62,24.00,43.55
GA,BARROW COUNTY,8.3,14.7,16.79,18.10,40.53
GA,BARTOW COUNTY,8.6,10.7,12.86,15.10,40.67
GA,BEN HILL COUNTY,22.3,22.0,24.63,31.90,50.52
GA,BERRIEN COUNTY,17.7,19.3,20.15,28.20,55.40
GA,BIBB COUNTY,19.1,19.2,19.52,21.90,31.94
GA,BLECKLEY COUNTY,15.9,18.3,18.33,28.40,48.47
GA,BRANTLEY COUNTY,15.6,18.2,18.60,24.80,51.88
GA,BROOKS COUNTY,23.4,25.9,32.24,42.30,64.92
GA,BRYAN COUNTY,11.7,13.2,19.95,30.30,59.33
GA,BULLOCH COUNTY,24.5,27.5,21.80,32.10,53.65
GA,BURKE COUNTY,28.7,30.3,28.49,52.70,70.67
GA,BUTTS COUNTY,11.5,15.6,16.52,23.80,58.16
GA,CALHOUN COUNTY,26.5,31.8,29.19,52.00,73.49
GA,CAMDEN COUNTY,10.1,11.5,21.79,19.70,34.95
GA,CANDLER COUNTY,26.1,24.1,28.88,40.40,61.44
GA,CARROLL COUNTY,13.7,14.4,15.73,18.30,39.07
GA,CATOOSA COUNTY,9.4,12.0,11.25,13.00,25.60
GA,CHARLTON COUNTY,20.9,18.3,21.26,29.00,47.58
GA,CHATHAM COUNTY,15.6,17.2,18.38,20.90,31.15
GA,CHATTAHOOCHEE COUNTY,10.6,10.4,11.82,17.10,22.37
GA,CHATTOOGA COUNTY,14.3,14.6,16.35,17.70,36.80
GA,CHEROKEE COUNTY,5.3,6.1,10.66,16.90,39.99
GA,CLARKE COUNTY,28.3,27.0,20.73,20.40,35.07
GA,CLAY COUNTY,31.3,35.7,40.70,60.70,64.90
GA,CLAYTON COUNTY,10.1,8.6,8.04,5.90,18.60
GA,CLINCH COUNTY,23.4,26.4,26.40,36.30,63.72
GA,COBB COUNTY,6.5,5.6,6.28,7.10,16.96
GA,COFFEE COUNTY,19.1,22.5,24.03,32.90,55.62
GA,COLQUITT COUNTY,19.8,22.8,19.50,29.30,47.70
GA,COLUMBIA COUNTY,5.1,6.6,10.91,19.20,46.55
GA,COOK COUNTY,20.7,22.4,19.13,30.30,54.27
GA,COWETA COUNTY,7.8,11.4,16.70,20.60,44.95
GA,CRAWFORD COUNTY,15.4,14.0,18.50,42.80,64.61
GA,CRISP COUNTY,29.3,29.0,28.58,32.40,55.87
GA,DADE COUNTY,9.7,14.6,17.29,22.40,45.32
GA,DAWSON COUNTY,7.6,12.8,19.05,27.20,62.13
GA,DECATUR COUNTY,22.7,23.3,23.70,39.60,53.34
GA,DEKALB COUNTY,10.8,9.9,9.70,7.10,14.11
GA,DODGE COUNTY,17.4,21.8,27.38,35.70,51.05
GA,DOOLY COUNTY,22.1,32.9,33.95,46.00,65.42
GA,DOUGHERTY COUNTY,24.8,24.4,20.79,23.10,36.37
GA,DOUGLAS COUNTY,7.8,6.6,7.86,12.30,37.32
GA,EARLY COUNTY,25.7,31.4,31.14,49.40,71.53
GA,ECHOLS COUNTY,28.7,14.6,25.60,31.50,61.86
GA,EFFINGHAM COUNTY,9.3,12.7,16.93,21.80,44.12
GA,ELBERT COUNTY,17.3,19.7,19.68,29.10,46.76
GA,EMANUEL COUNTY,27.4,25.7,26.46,34.70,54.65
GA,EVANS COUNTY,27.0,25.4,25.41,41.60,56.29
GA,FANNIN COUNTY,12.4,17.2,23.08,24.60,47.67
GA,FAYETTE COUNTY,2.6,2.6,5.30,14.30,44.28
GA,FLOYD COUNTY,14.4,13.6,12.35,15.40,29.44
GA,FORSYTH COUNTY,5.5,6.8,10.73,17.70,41.66
GA,FRANKLIN COUNTY,13.9,16.5,19.84,20.30,48.02
GA,FULTON COUNTY,15.7,18.4,21.19,17.60,29.17
GA,GILMER COUNTY,12.5,16.6,20.36,27.90,58.41
GA,GLASCOCK COUNTY,17.2,16.8,20.73,42.10,61.57
GA,GLYNN COUNTY,15.1,14.3,16.13,17.30,31.54
GA,GORDON COUNTY,9.9,11.1,12.94,15.10,42.83
GA,GRADY COUNTY,21.3,22.3,25.75,35.20,57.71
GA,GREENE COUNTY,22.3,25.1,26.62,33.10,58.16
GA,GWINNETT COUNTY,5.7,4.0,5.59,10.30,31.72
GA,HABERSHAM COUNTY,12.2,11.6,14.71,17.10,40.63
GA,HALL COUNTY,12.4,10.6,10.91,17.70,37.60
GA,HANCOCK COUNTY,29.4,30.1,39.26,47.80,72.45
GA,HARALSON COUNTY,15.5,14.4,15.17,17.50,39.62
GA,HARRIS COUNTY,8.2,13.7,17.22,29.70,55.52
GA,HART COUNTY,14.8,14.2,16.59,26.60,47.48
GA,HEARD COUNTY,13.6,19.1,16.77,23.50,54.85
GA,HENRY COUNTY,4.9,6.1,10.49,20.00,46.51
GA,HOUSTON COUNTY,10.2,10.6,11.22,13.70,26.81
GA,IRWIN COUNTY,17.8,27.2,24.68,43.80,66.87
GA,JACKSON COUNTY,12.0,14.1,14.11,19.40,41.33
GA,JASPER COUNTY,14.2,17.4,20.40,34.90,66.41
GA,JEFF DAVIS COUNTY,19.4,18.8,17.10,26.30,52.78
GA,JEFFERSON COUNTY,23.0,31.3,30.37,39.90,67.02
GA,JENKINS COUNTY,28.4,27.8,33.76,44.40,58.73
GA,JOHNSON COUNTY,22.6,22.2,26.14,39.40,49.61
GA,JONES COUNTY,10.2,10.8,14.91,21.70,50.47
GA,LAMAR COUNTY,11.2,16.3,16.32,19.30,43.50
GA,LANIER COUNTY,18.5,25.9,28.36,31.50,60.91
GA,LAURENS COUNTY,18.4,20.5,20.05,32.60,52.32
GA,LEE COUNTY,8.2,12.6,16.66,37.00,61.38
GA,LIBERTY COUNTY,15.0,17.2,20.94,32.50,51.44
GA,LINCOLN COUNTY,15.3,17.8,18.33,34.80,66.89
GA,LONG COUNTY,19.5,23.7,24.46,37.20,62.35
GA,LOWNDES COUNTY,18.3,19.9,19.16,25.00,40.91
GA,LUMPKIN COUNTY,13.2,15.3,16.60,28.70,50.50
GA,MACON COUNTY,25.8,29.2,32.48,42.60,64.68
GA,MADISON COUNTY,11.6,15.7,16.06,19.30,54.90
GA,MARION COUNTY,22.4,28.2,29.82,40.20,71.24
GA,MCDUFFIE COUNTY,18.4,21.6,20.53,26.40,52.77
GA,MCINTOSH COUNTY,18.7,22.3,31.40,35.20,66.34
GA,MERIWETHER COUNTY,17.8,22.4,20.89,32.20,56.68
GA,MILLER COUNTY,21.2,22.1,27.31,47.00,62.97
GA,MITCHELL COUNTY,26.4,28.7,29.46,36.90,55.62
GA,MONROE COUNTY,9.8,13.8,15.93,22.10,50.58
GA,MONTGOMERY COUNTY,19.9,24.5,23.48,33.40,63.68
GA,MORGAN COUNTY,10.9,15.0,21.66,37.10,54.36
GA,MURRAY COUNTY,12.7,11.3,14.14,14.10,44.93
GA,MUSCOGEE COUNTY,15.7,18.6,18.04,19.90,30.37
GA,NEWTON COUNTY,10.0,14.4,14.17,19.80,40.63
GA,OCONEE COUNTY,6.5,7.9,10.06,24.00,45.45
GA,OGLETHORPE COUNTY,13.2,16.2,18.77,28.00,59.98
GA,PAULDING COUNTY,5.5,8.8,12.42,18.30,35.86
GA,PEACH COUNTY,20.2,24.0,26.16,27.90,47.68
GA,PICKENS COUNTY,9.2,12.8,17.06,20.80,48.80
GA,PIERCE COUNTY,18.4,21.3,22.84,26.80,54.55
GA,PIKE COUNTY,9.6,13.4,14.76,28.20,54.49
GA,POLK COUNTY,15.5,16.3,16.04,20.30,39.99
GA,PULASKI COUNTY,16.4,24.3,25.11,36.90,50.74
GA,PUTNAM COUNTY,14.6,16.4,20.11,27.00,57.15
GA,QUITMAN COUNTY,21.9,33.0,40.73,54.10,73.08
GA,RABUN COUNTY,11.1,13.6,17.11,25.10,49.55
GA,RANDOLPH COUNTY,27.7,35.9,33.70,50.60,65.74
GA,RICHMOND COUNTY,19.6,18.2,18.30,20.10,37.30
GA,ROCKDALE COUNTY,8.2,6.2,8.24,15.70,40.15
GA,SCHLEY COUNTY,19.9,19.9,26.84,29.60,71.01
GA,SCREVEN COUNTY,20.1,22.9,34.12,38.60,61.74
GA,SEMINOLE COUNTY,23.2,29.1,23.39,29.00,62.73
GA,SPALDING COUNTY,15.5,15.6,17.62,19.40,34.08
GA,STEPHENS COUNTY,15.1,17.0,14.81,17.80,39.99
GA,STEWART COUNTY,22.2,31.4,38.81,48.00,69.49
GA,SUMTER COUNTY,21.4,24.8,23.15,31.70,55.31
GA,TALBOT COUNTY,24.2,24.9,20.60,41.70,67.67
GA,TALIAFERRO COUNTY,23.4,31.9,32.38,51.40,68.29
GA,TATTNALL COUNTY,23.9,21.9,28.33,35.30,56.49
GA,TAYLOR COUNTY,26.0,29.5,28.09,36.50,64.34
GA,TELFAIR COUNTY,21.2,27.3,26.50,35.50,62.19
GA,TERRELL COUNTY,28.6,29.1,31.09,42.40,67.85
GA,THOMAS COUNTY,17.4,22.6,21.44,32.10,47.33
GA,TIFT COUNTY,19.9,22.9,22.57,27.50,53.38
GA,TOOMBS COUNTY,23.9,24.0,26.02,31.00,52.01
GA,TOWNS COUNTY,11.8,14.0,22.66,30.40,56.65
GA,TREUTLEN COUNTY,26.3,27.1,29.34,38.10,63.66
GA,TROUP COUNTY,14.8,16.3,17.99,25.20,40.54
GA,TURNER COUNTY,26.7,31.3,31.96,33.60,60.27
GA,TWIGGS COUNTY,19.7,26.0,18.52,39.30,54.96
GA,UNION COUNTY,12.5,18.3,26.17,36.00,63.58
GA,UPSON COUNTY,14.7,14.7,13.01,18.80,33.22
GA,WALKER COUNTY,12.5,12.8,12.31,15.30,30.48
GA,WALTON COUNTY,9.7,13.2,16.92,20.00,44.57
GA,WARE COUNTY,20.5,21.1,21.05,25.70,37.17
GA,WARREN COUNTY,27.0,32.6,28.27,43.50,69.78
GA,WASHINGTON COUNTY,22.9,21.6,25.35,38.80,62.01
GA,WAYNE COUNTY,16.7,21.2,20.24,25.60,48.75
GA,WEBSTER COUNTY,19.3,22.5,30.99,46.10,76.62
GA,WHEELER COUNTY,25.3,30.3,30.40,36.40,64.35
GA,WHITE COUNTY,10.5,12.5,16.41,23.90,44.61
GA,WHITFIELD COUNTY,11.5,11.1,11.94,13.70,31.71
GA,WILCOX COUNTY,21.0,28.6,30.37,39.90,63.24
GA,WILKES COUNTY,17.5,22.6,20.58,35.40,53.02
GA,WILKINSON COUNTY,17.9,15.3,17.60,29.30,52.11
GA,WORTH COUNTY,18.5,26.2,23.75,39.80,67.11
HI,HAWAII STATE,10.7,8.3,9.88,9.30,17.12
HI,HAWAII COUNTY,15.7,14.2,13.22,12.10,29.20
HI,HONOLULU COUNTY,9.9,7.5,9.55,8.80,14.35
HI,KALAWAO COUNTY,40.1,43.6,31.94,38.97,
HI,KAUAI COUNTY,10.5,7.2,8.87,10.20,24.16
HI,MAUI COUNTY,10.5,7.9,9.57,25.49,
HI,MAUI4 COUNTY,,,,11.60,
ID,IDAHO STATE,11.8,13.3,12.61,13.20,18.69
ID,ADA COUNTY,7.7,8.8,8.46,10.30,15.21
ID,ADAMS COUNTY,15.1,10.9,14.98,11.70,16.38
ID,BANNOCK COUNTY,13.9,13.8,9.42,13.10,13.23
ID,BEAR LAKE COUNTY,9.6,14.3,10.63,13.80,20.84
ID,BENEWAH COUNTY,14.1,16.3,10.52,11.70,22.17
ID,BINGHAM COUNTY,12.4,15.6,13.63,13.50,21.07
ID,BLAINE COUNTY,7.8,7.7,11.86,9.90,19.21
ID,BOISE COUNTY,12.9,13.2,10.61,9.60,21.94
ID,BONNER COUNTY,15.5,15.6,17.56,14.60,23.14
ID,BONNEVILLE COUNTY,10.1,9.9,8.48,8.80,11.95
ID,BOUNDARY COUNTY,15.7,14.0,17.47,13.20,25.17
ID,BUTTE COUNTY,18.2,13.5,13.77,10.90,14.38
ID,CAMAS COUNTY,8.3,11.8,12.59,5.70,19.36
ID,CANYON COUNTY,12.0,15.1,14.95,14.70,24.31
ID,CARIBOU COUNTY,9.6,7.1,12.47,8.10,18.05
ID,CASSIA COUNTY,13.6,14.5,14.62,16.80,19.44
ID,CLARK COUNTY,19.9,9.3,16.60,14.20,34.03
ID,CLEARWATER COUNTY,13.5,12.2,8.65,8.40,18.29
ID,CUSTER COUNTY,14.3,14.8,18.65,18.00,27.51
ID,ELMORE COUNTY,11.2,12.7,13.74,13.90,22.94
ID,FRANKLIN COUNTY,7.4,10.6,12.04,13.60,22.94
ID,FREMONT COUNTY,14.2,14.9,16.74,21.01,
ID,GEM COUNTY,13.1,16.9,14.88,15.70,20.76
ID,GOODING COUNTY,13.8,17.0,17.76,21.00,26.31
ID,IDAHO COUNTY,16.3,13.8,14.49,17.00,21.57
ID,JEFFERSON COUNTY,10.4,14.3,16.95,16.50,19.91
ID,JEROME COUNTY,13.9,15.9,12.87,14.90,24.08
ID,KOOTENAI COUNTY,10.5,12.1,11.95,12.00,17.99
ID,LATAH COUNTY,16.7,18.5,14.55,13.20,14.92
ID,LEMHI COUNTY,15.3,20.2,17.05,19.30,31.67
ID,LEWIS COUNTY,12.0,15.6,11.79,11.60,13.22
ID,LINCOLN COUNTY,13.1,13.6,18.30,16.90,15.47
ID,MADISON COUNTY,30.5,28.6,27.52,16.20,21.50
ID,MINIDOKA COUNTY,14.8,13.3,14.41,16.20,18.97
ID,NEZ PERCE COUNTY,12.2,12.0,11.89,12.10,16.98
ID,ONEIDA COUNTY,10.8,14.1,19.19,17.80,22.43
ID,OWYHEE COUNTY,16.9,24.7,28.01,25.90,23.57
ID,PAYETTE COUNTY,13.2,17.8,18.09,17.80,25.68
ID,POWER COUNTY,16.1,13.2,13.89,10.00,17.57
ID,SHOSHONE COUNTY,16.4,16.2,9.55,8.90,11.65
ID,TETON COUNTY,12.9,18.1,18.04,18.80,27.46
ID,TWIN FALLS COUNTY,12.7,13.6,12.00,15.00,18.93
ID,VALLEY COUNTY,9.3,12.7,9.00,9.30,13.65
ID,WASHINGTON COUNTY,13.3,19.6,20.14,24.10,29.98
IL,ILLINOIS STATE,10.7,11.9,11.02,10.20,14.68
IL,ADAMS COUNTY,10.0,13.2,10.97,12.70,21.76
IL,ALEXANDER COUNTY,26.1,32.2,26.53,38.80,48.63
IL,BOND COUNTY,9.3,12.1,13.18,16.40,30.47
IL,BOONE COUNTY,7.0,7.2,6.57,6.30,14.39
IL,BROWN COUNTY,8.5,13.5,16.37,22.10,41.91
IL,BUREAU COUNTY,7.3,10.4,7.90,8.80,21.04
IL,CALHOUN COUNTY,9.0,15.1,13.87,20.10,27.77
IL,CARROLL COUNTY,9.6,11.7,10.33,9.20,24.24
IL,CASS COUNTY,12.0,13.9,10.21,14.90,26.54
IL,CHAMPAIGN COUNTY,16.1,15.6,13.19,11.80,16.61
IL,CHRISTIAN COUNTY,9.5,11.7,9.71,15.60,23.19
IL,CLARK COUNTY,9.2,12.0,11.72,14.40,29.78
IL,CLAY COUNTY,11.8,16.8,14.62,15.40,27.46
IL,CLINTON COUNTY,6.4,10.2,8.82,11.90,24.19
IL,COLES COUNTY,17.5,16.7,13.49,15.80,19.96
IL,COOK COUNTY,13.5,14.2,13.62,10.50,12.39
IL,CRAWFORD COUNTY,11.2,10.5,8.17,12.70,22.22
IL,CUMBERLAND COUNTY,9.5,12.0,11.40,15.10,31.41
IL,DE WITT COUNTY,8.2,10.3,9.75,9.60,20.25
IL,DEKALB COUNTY,11.4,13.5,11.16,9.00,14.80
IL,DOUGLAS COUNTY,6.4,9.6,9.33,11.70,21.53
IL,DUPAGE COUNTY,3.6,2.7,3.05,3.00,5.48
IL,EDGAR COUNTY,10.5,16.0,12.22,13.70,28.62
IL,EDWARDS COUNTY,9.8,12.2,11.16,19.10,31.96
IL,EFFINGHAM COUNTY,8.1,9.0,8.14,14.70,23.93
IL,FAYETTE COUNTY,12.2,13.6,12.73,18.70,28.74
IL,FORD COUNTY,7.0,9.3,6.93,10.00,20.33
IL,FRANKLIN COUNTY,16.2,20.8,14.15,22.00,31.81
IL,FULTON COUNTY,9.9,15.5,10.66,13.60,20.29
IL,GALLATIN COUNTY,20.7,21.4,18.10,20.80,52.61
IL,GREENE COUNTY,12.4,15.5,17.54,17.60,30.61
IL,GRUNDY COUNTY,4.8,6.6,5.40,6.20,13.05
IL,HAMILTON COUNTY,12.9,19.8,16.18,27.40,38.54
IL,HANCOCK COUNTY,8.3,11.8,11.56,15.40,25.91
IL,HARDIN COUNTY,18.6,26.7,19.29,30.00,43.88
IL,HENDERSON COUNTY,9.5,12.9,11.14,14.20,26.67
IL,HENRY COUNTY,8.0,10.5,7.51,9.10,19.50
IL,IROQUOIS COUNTY,8.7,9.2,9.68,11.30,21.40
IL,JACKSON COUNTY,25.2,28.4,22.32,22.10,28.46
IL,JASPER COUNTY,9.9,13.1,10.76,17.80,32.92
IL,JEFFERSON COUNTY,12.3,16.1,12.98,20.30,27.73
IL,JERSEY COUNTY,7.1,9.7,8.02,14.60,21.48
IL,JO DAVIESS COUNTY,6.7,8.3,7.84,11.20,24.89
IL,JOHNSON COUNTY,11.3,15.6,16.21,19.10,40.81
IL,KANE COUNTY,6.7,6.8,6.11,5.10,8.59
IL,KANKAKEE COUNTY,11.4,13.3,12.43,11.00,15.51
IL,KENDALL COUNTY,3.0,3.4,4.23,3.70,12.62
IL,KNOX COUNTY,11.1,13.9,9.04,10.20,14.75
IL,LA SALLE COUNTY,9.1,11.1,6.95,8.40,12.42
IL,LAKE COUNTY,5.7,5.2,5.25,5.60,7.97
IL,LAWRENCE COUNTY,13.7,19.8,12.13,19.20,27.39
IL,LEE COUNTY,7.7,8.8,6.99,9.30,19.16
IL,LIVINGSTON COUNTY,8.8,9.3,7.38,8.70,17.45
IL,LOGAN COUNTY,8.1,10.8,8.19,9.90,15.86
IL,MACON COUNTY,12.9,12.7,9.94,9.20,15.32
IL,MACOUPIN COUNTY,9.4,13.2,9.58,13.10,24.42
IL,MADISON COUNTY,9.8,11.3,9.78,8.80,13.62
IL,MARION COUNTY,11.3,16.4,11.53,17.20,27.35
IL,MARSHALL COUNTY,5.6,9.4,7.09,10.90,21.62
IL,MASON COUNTY,9.7,15.5,11.25,12.20,22.57
IL,MASSAC COUNTY,13.5,16.7,15.42,22.50,34.60
IL,MCDONOUGH COUNTY,19.8,19.1,15.91,14.30,24.02
IL,MCHENRY COUNTY,3.7,3.5,4.24,5.40,10.45
IL,MCLEAN COUNTY,9.7,11.9,10.39,9.80,16.84
IL,MENARD COUNTY,8.2,9.6,7.77,16.40,21.05
IL,MERCER COUNTY,7.8,10.1,9.88,12.20,26.62
IL,MONROE COUNTY,3.4,4.8,5.60,8.20,13.91
IL,MONTGOMERY COUNTY,13.4,14.0,10.25,17.20,26.64
IL,MORGAN COUNTY,9.7,11.2,10.50,13.20,20.58
IL,MOULTRIE COUNTY,7.8,11.3,8.76,12.30,23.20
IL,OGLE COUNTY,7.1,7.2,6.91,9.20,19.06
IL,PEORIA COUNTY,13.7,14.5,9.61,9.60,14.81
IL,PERRY COUNTY,13.2,15.8,8.79,15.80,28.81
IL,PIATT COUNTY,5.0,6.1,6.41,8.10,18.34
IL,PIKE COUNTY,12.4,17.9,15.38,18.30,34.19
IL,POPE COUNTY,18.2,25.2,20.53,39.90,47.79
IL,PULASKI COUNTY,24.7,30.2,29.86,45.50,51.79
IL,PUTNAM COUNTY,5.5,7.5,6.69,12.20,16.72
IL,RANDOLPH COUNTY,10.0,11.0,8.67,11.70,24.41
IL,RICHLAND COUNTY,12.9,14.0,9.97,15.00,26.44
IL,ROCK ISLAND COUNTY,10.7,13.2,8.38,8.60,11.21
IL,SALINE COUNTY,14.2,20.2,15.13,24.20,39.87
IL,SANGAMON COUNTY,9.3,9.9,8.65,9.70,15.60
IL,SCHUYLER COUNTY,10.1,16.5,12.15,16.60,32.26
IL,SCOTT COUNTY,9.7,11.5,12.63,15.90,31.69
IL,SHELBY COUNTY,9.1,10.0,10.56,15.30,29.67
IL,ST. CLAIR COUNTY,14.5,17.4,17.70,15.50,20.59
IL,STARK COUNTY,8.6,12.5,8.85,13.20,24.13
IL,STEPHENSON COUNTY,9.0,9.9,7.12,9.60,17.91
IL,TAZEWELL COUNTY,6.3,9.1,5.96,5.50,10.85
IL,UNION COUNTY,16.5,18.2,14.65,20.20,29.49
IL,VERMILION COUNTY,13.3,15.2,11.51,11.60,19.27
IL,WABASH COUNTY,14.1,12.9,11.01,14.50,20.47
IL,WARREN COUNTY,9.2,14.2,11.98,13.00,22.89
IL,WASHINGTON COUNTY,6.0,9.3,9.48,14.50,24.68
IL,WAYNE COUNTY,12.4,14.4,13.67,21.40,29.61
IL,WHITE COUNTY,12.5,19.1,10.73,18.00,28.36
IL,WHITESIDE COUNTY,8.5,11.0,6.79,9.80,18.70
IL,WILL COUNTY,4.9,6.0,6.40,6.10,11.12
IL,WILLIAMSON COUNTY,14.6,15.8,11.81,18.00,28.25
IL,WINNEBAGO COUNTY,9.6,10.1,8.33,8.50,11.83
IL,WOODFORD COUNTY,4.3,7.2,5.56,7.00,15.76
IN,INDIANA STATE,9.5,10.7,9.66,9.70,17.47
IN,ADAMS COUNTY,9.1,11.6,10.45,9.70,15.06
IN,ALLEN COUNTY,9.1,7.9,8.08,7.50,12.50
IN,BARTHOLOMEW COUNTY,7.3,8.5,8.73,8.40,15.94
IN,BENTON COUNTY,5.5,8.0,8.61,11.60,25.44
IN,BLACKFORD COUNTY,8.7,9.9,9.65,8.20,17.83
IN,BOONE COUNTY,5.2,6.3,7.13,9.70,18.32
IN,BROWN COUNTY,8.9,6.9,10.88,18.40,26.57
IN,CARROLL COUNTY,6.8,7.5,7.53,8.30,21.62
IN,CASS COUNTY,7.6,10.3,7.53,8.90,16.73
IN,CLARK COUNTY,8.1,10.1,8.83,8.50,18.61
IN,CLAY COUNTY,8.7,11.8,10.91,12.60,23.54
IN,CLINTON COUNTY,8.6,9.4,9.55,9.40,19.11
IN,CRAWFORD COUNTY,16.8,18.5,18.84,21.50,42.16
IN,DAVIESS COUNTY,13.8,15.5,16.68,14.70,27.65
IN,DEARBORN COUNTY,6.6,8.5,8.33,10.80,17.76
IN,DECATUR COUNTY,9.3,9.1,10.97,11.50,26.42
IN,DEKALB COUNTY,5.9,6.5,6.71,8.80,15.93
IN,DELAWARE COUNTY,15.1,16.7,12.64,10.60,17.11
IN,DUBOIS COUNTY,5.3,6.1,6.74,8.40,23.48
IN,ELKHART COUNTY,7.8,7.0,7.90,6.70,12.60
IN,FAYETTE COUNTY,7.9,10.8,11.42,10.70,23.46
IN,FLOYD COUNTY,8.7,11.0,9.05,9.70,21.00
IN,FOUNTAIN COUNTY,8.5,9.8,8.31,10.20,21.07
IN,FRANKLIN COUNTY,7.1,10.6,10.08,12.60,33.21
IN,FULTON COUNTY,7.6,10.3,8.88,13.40,21.21
IN,GIBSON COUNTY,8.2,9.6,9.79,14.80,25.80
IN,GRANT COUNTY,11.8,13.1,10.22,9.20,15.73
IN,GREENE COUNTY,11.0,13.2,12.16,14.10,29.80
IN,HAMILTON COUNTY,2.9,3.6,4.17,7.30,12.92
IN,HANCOCK COUNTY,3.0,4.5,6.17,6.20,15.59
IN,HARRISON COUNTY,6.4,9.8,8.50,11.90,25.81
IN,HENDRICKS COUNTY,3.6,3.7,4.04,5.80,11.98
IN,HENRY COUNTY,7.8,12.4,10.06,9.80,20.64
IN,HOWARD COUNTY,9.5,11.5,8.10,8.20,15.19
IN,HUNTINGTON COUNTY,5.5,6.6,7.00,6.00,17.06
IN,JACKSON COUNTY,8.5,10.5,9.58,9.90,21.08
IN,JASPER COUNTY,6.7,8.0,7.84,11.30,21.85
IN,JAY COUNTY,9.1,9.7,10.92,11.70,19.78
IN,JEFFERSON COUNTY,9.6,11.6,12.70,12.60,25.91
IN,JENNINGS COUNTY,9.2,12.8,11.64,11.80,25.21
IN,JOHNSON COUNTY,5.6,6.9,6.69,8.80,13.35
IN,KNOX COUNTY,16.0,15.7,13.32,16.00,26.14
IN,KOSCIUSKO COUNTY,6.4,6.6,8.28,9.10,18.56
IN,LAGRANGE COUNTY,7.7,11.5,16.57,14.00,28.85
IN,LAKE COUNTY,12.2,13.8,11.03,9.20,14.21
IN,LAPORTE COUNTY,8.7,10.1,8.31,7.20,12.95
IN,LAWRENCE COUNTY,9.8,9.7,8.85,11.60,24.81
IN,MADISON COUNTY,9.3,12.7,9.40,8.30,15.01
IN,MARION COUNTY,11.4,12.1,11.05,9.40,14.56
IN,MARSHALL COUNTY,6.8,7.5,8.86,10.30,18.60
IN,MARTIN COUNTY,11.2,13.8,12.23,16.50,29.90
IN,MIAMI COUNTY,8.0,10.9,8.42,10.50,21.74
IN,MONROE COUNTY,18.9,19.4,15.03,13.40,18.27
IN,MONTGOMERY COUNTY,8.3,9.4,6.60,9.00,17.27
IN,MORGAN COUNTY,6.6,6.7,8.80,6.80,18.71
IN,NEWTON COUNTY,6.9,8.9,8.95,10.40,23.57
IN,NOBLE COUNTY,7.9,8.0,8.66,8.80,16.70
IN,OHIO COUNTY,7.1,9.9,9.66,11.00,25.41
IN,ORANGE COUNTY,12.4,15.3,14.79,15.50,32.39
IN,OWEN COUNTY,9.4,13.6,12.80,14.50,30.21
IN,PARKE COUNTY,11.5,12.2,11.76,17.90,28.59
IN,PERRY COUNTY,9.4,11.6,10.56,15.10,29.22
IN,PIKE COUNTY,8.0,13.3,9.45,16.70,31.06
IN,PORTER COUNTY,5.9,6.1,4.92,5.90,10.29
